"customer_id","customer_name","recency_days","frequency","monetary_value","r_score","f_score","m_score","rfm_str","customer_segment"
"NB-18580","Nicole Brennan","1166","2","273.87","1","1","1","111","Hibernation"
"GR-14560","Georgia Rosenberg","1136","2","1284.38","1","1","2","112","Hibernation"
"RE-19405","Ricardo Emerson","1098","1","48.36","1","1","1","111","Hibernation"
"CM-12715","Craig Molinari","1036","4","3984.4500000000003","1","1","4","114","Hibernation"
"VT-21700","Valerie Takahito","1001","2","1736.6","1","1","2","112","Hibernation"
"PC-19000","Pauline Chand","883","2","1061.49","1","1","1","111","Hibernation"
"AG-10525","Andy Gerbode","846","4","1455.04","1","1","2","112","Hibernation"
"PF-19120","Peter Fuller","836","4","9062.86","1","1","4","114","Hibernation"
"DP-13165","David Philippe","813","2","1058.62","1","1","1","111","Hibernation"
"CC-12685","Craig Carroll","800","4","2854.12","1","1","3","113","Hibernation"
"SC-20020","Sam Craven","782","5","3362.96","1","2","3","123","Hibernation"
"LS-17230","Lycoris Saunders","778","3","368.88","1","1","1","111","Hibernation"
"DH-13675","Duane Huffman","777","4","1043.09","1","1","1","111","Hibernation"
"KW-16570","Kelly Williams","772","4","449.1","1","1","1","111","Hibernation"
"HD-14785","Harold Dahlen","770","3","251.35999999999999","1","1","1","111","Hibernation"
"GP-14740","Guy Phonely","766","2","236.53","1","1","1","111","Hibernation"
"SH-20635","Stefanie Holloman","766","2","2096.3900000000003","1","1","2","112","Hibernation"
"JG-15115","Jack Garza","759","3","2358.66","1","1","3","113","Hibernation"
"JJ-15760","Joel Jenkins","754","2","195","1","1","1","111","Hibernation"
"JB-15925","Joni Blumstein","738","3","900.55","1","1","1","111","Hibernation"
"DE-13255","Deanra Eno","720","5","2550.87","1","2","3","123","Hibernation"
"MP-17470","Mark Packer","720","7","3206.12","1","3","3","133","At Risk"
"CM-11935","Carlos Meador","709","2","565.39","1","1","1","111","Hibernation"
"DF-13135","David Flashing","701","3","2390.54","1","1","3","113","Hibernation"
"CH-12070","Cathy Hwang","692","3","1537.24","1","1","2","112","Hibernation"
"PB-19210","Phillip Breyer","689","2","132.74","1","1","1","111","Hibernation"
"BT-11485","Brad Thomas","660","2","415.2","1","1","1","111","Hibernation"
"RB-19645","Robert Barroso","649","5","221.09","1","1","1","111","Hibernation"
"DJ-13420","Denny Joy","638","4","2012.52","1","1","2","112","Hibernation"
"JL-15850","John Lucas","615","6","2725.25","1","3","3","133","At Risk"
"SM-20905","Susan MacKendrick","607","1","1043.05","1","1","1","111","Hibernation"
"JR-15670","Jim Radford","594","2","1156.6599999999999","1","1","2","112","Hibernation"
"TB-21280","Toby Braunhardt","584","6","2198.46","1","2","2","122","Hibernation"
"BS-11665","Brian Stugart","583","3","3288.12","1","1","3","113","Hibernation"
"VD-21670","Valerie Dominguez","582","6","6442.26","1","3","4","134","At Risk"
"BT-11440","Bobby Trafton","561","4","603.87","1","1","1","111","Hibernation"
"BS-11365","Bill Shonely","559","5","10501.65","1","2","4","124","Hibernation"
"MG-17695","Maureen Gnade","556","3","1342.29","1","1","2","112","Hibernation"
"LD-16855","Lela Donovan","553","1","5.3","1","1","1","111","Hibernation"
"Co-12640","Corey-Lock","550","5","1300.08","1","2","2","122","Hibernation"
"AR-10570","Anemone Ratner","535","1","88.15","1","1","1","111","Hibernation"
"SW-20755","Steven Ward","535","2","758.6899999999999","1","1","1","111","Hibernation"
"RH-19600","Rob Haberlin","535","3","2085.74","1","1","2","112","Hibernation"
"JS-15880","John Stevenson","535","5","3868.0099999999998","1","2","4","124","Hibernation"
"NF-18475","Neil Französisch","526","4","377.17","1","1","1","111","Hibernation"
"RH-19555","Ritsa Hightower","520","2","740.39","1","1","1","111","Hibernation"
"TS-21160","Theresa Swint","505","6","2163.63","1","2","2","122","Hibernation"
"AO-10810","Anthony O'Donnell","502","1","161.28","1","1","1","111","Hibernation"
"RP-19270","Rachel Payne","497","4","954.64","1","1","1","111","Hibernation"
"SS-20515","Shirley Schmidt","492","3","613.4","1","1","1","111","Hibernation"
"CS-12130","Chad Sievert","490","4","884.64","1","1","1","111","Hibernation"
"KD-16270","Karen Daniels","485","5","8282.36","1","2","4","124","Hibernation"
"PK-18910","Paul Knutson","484","2","1441.15","1","1","2","112","Hibernation"
"JJ-15445","Jennifer Jackson","484","5","709.17","1","2","1","121","Hibernation"
"DM-13525","Don Miller","482","3","1376.8","1","1","2","112","Hibernation"
"CR-12625","Corey Roper","471","3","475.9","1","1","1","111","Hibernation"
"RH-19510","Rick Huthwaite","468","6","6979.18","1","3","4","134","At Risk"
"PW-19240","Pierre Wener","465","7","3922.41","1","3","4","134","At Risk"
"JS-15940","Joni Sundaresam","464","5","469.16","1","2","1","121","Hibernation"
"JW-16075","Julia West","462","4","1428.73","1","1","2","112","Hibernation"
"CC-12100","Chad Cunningham","458","6","1770.95","1","2","2","122","Hibernation"
"MS-17830","Melanie Seite","453","4","370.34000000000003","1","1","1","111","Hibernation"
"CM-12445","Chuck Magee","437","3","288","1","1","1","111","Hibernation"
"LC-16960","Lindsay Castell","437","4","3246.63","1","1","3","113","Hibernation"
"MS-17530","MaryBeth Skach","435","4","475.65999999999997","1","1","1","111","Hibernation"
"SS-20590","Sonia Sunley","433","6","418.49","1","2","1","121","Hibernation"
"CS-12490","Cindy Schnelling","425","4","1077.23","1","1","1","111","Hibernation"
"ER-13855","Elpida Rittenbach","422","3","1245.79","1","1","2","112","Hibernation"
"SM-20005","Sally Matthias","422","4","244.49","1","1","1","111","Hibernation"
"MF-17665","Maureen Fritzler","422","5","937.0500000000001","1","2","1","121","Hibernation"
"AB-10015","Aaron Bergman","416","3","886.15","1","1","1","111","Hibernation"
"AF-10885","Art Foster","416","4","861.57","1","1","1","111","Hibernation"
"LD-17005","Lisa DeCherney","415","4","1961.93","1","1","2","112","Hibernation"
"MS-17710","Maurice Satty","414","6","1613.39","1","2","2","122","Hibernation"
"ON-18715","Odella Nelson","411","9","1567.52","1","4","2","142","At Risk"
"AH-10690","Anna Häberlin","411","12","7888.3","1","4","4","144","At Risk"
